iter	Passed	Remaining
0	896	267942
1	1761	262395
2	2583	255733
3	3335	246824
4	4072	240250
5	4750	232788
6	5351	224003
7	5989	218616
8	6592	213151
9	7232	209742
10	7894	207411
11	8579	205913
12	9215	203459
13	9894	202139
14	10523	199953
15	11136	197664
16	11778	196072
17	12432	194775
18	13080	193446
19	13730	192227
20	14335	190458
21	14967	189140
22	15587	187723
23	16189	186179
24	16830	185130
25	17563	185087
26	18218	184214
27	18835	182971
28	19397	181269
29	19987	179883
30	20628	179004
31	21450	179643
32	22311	180524
33	23106	180774
34	23923	181136
35	24775	181684
36	25593	181924
37	26457	182414
38	27263	182455
39	28058	182377
40	28950	182884
41	29784	182962
42	30623	183030
43	31531	183457
44	32461	183949
45	33299	183870
46	34227	184247
47	35075	184148
48	35928	184042
49	36744	183722
50	37590	183532
51	38375	183020
52	39070	182081
53	39855	181564
54	40623	180958
55	41489	180777
56	42369	180628
57	43508	181536
58	44536	181919
59	45258	181032
60	46327	181511
61	47221	181269
62	48200	181327
63	48996	180675
64	49772	179945
65	50596	179388
66	51379	178676
67	52279	178364
68	53099	177769
69	53973	177340
70	54831	176850
71	55649	176221
72	56538	175811
73	57424	175378
74	58334	175002
75	59211	174519
76	60072	173975
77	60881	173279
78	61628	172404
79	62528	171952
80	63412	171449
81	64245	170798
82	65117	170246
83	66043	169825
84	66830	169042
85	67624	168274
86	68461	167611
87	69327	167016
88	70143	166295
89	70912	165463
90	71787	164874
91	72600	164140
92	73375	163319
93	74304	162836
94	75113	162087
95	75862	161207
96	76765	160653
97	77608	159968
98	78493	159366
99	79310	158621
100	80099	157819
101	80899	157040
102	81747	156351
103	82572	155617
104	83350	154793
105	84214	154128
106	85096	153492
107	85898	152707
108	86783	152070
109	87575	151267
110	88400	150519
111	89192	149715
112	89994	148929
113	90858	148242
114	91712	147538
115	92514	146746
116	93401	146089
117	94211	145309
118	95060	144587
119	95978	143968
120	96778	143167
121	97580	142372
122	98442	141661
123	99238	140854
124	100096	140135
125	100822	139231
126	101589	138385
127	102388	137584
128	103193	136791
129	104076	136100
130	104880	135303
131	105647	134459
132	106462	133678
133	107332	132964
134	108250	132305
135	109109	131573
136	110017	130896
137	110843	130121
138	111735	129420
139	112602	128688
140	113412	127890
141	114185	127050
142	114938	126191
143	115782	125430
144	116732	124782
145	117585	124028
146	118401	123234
147	119088	122307
148	119930	121540
149	120728	120728
150	121522	119912
151	122417	119195
152	123274	118440
153	124118	117671
154	124901	116843
155	125703	116033
156	126586	115298
157	127368	114470
158	128206	113692
159	128973	112851
160	129878	112131
161	130745	111376
162	131498	110522
163	132366	109767
164	133184	108968
165	133925	108108
166	134734	107303
167	135536	106492
168	136414	105741
169	137224	104936
170	137963	104077
171	138782	103280
172	139559	102451
173	140393	101664
174	141297	100926
175	142156	100155
176	142972	99353
177	143828	98579
178	144708	97819
179	145544	97029
180	146254	96155
181	147090	95366
182	147943	94586
183	148828	93826
184	149708	93062
185	150578	92290
186	151401	91488
187	152218	90683
188	153144	89942
189	153998	89157
190	154709	88289
191	155457	87444
192	156387	86702
193	157169	85876
194	158026	85090
195	158787	84254
196	159577	83433
197	160376	82618
198	161226	81828
199	162619	81309
200	163886	80720
201	165216	80154
202	166219	79425
203	167319	78738
204	168372	78026
205	169325	77265
206	170310	76516
207	171437	75828
208	172290	75016
209	173326	74282
210	174148	73456
211	175093	72680
212	176117	71935
213	177105	71173
214	178119	70419
215	179053	69631
216	180001	68848
217	181022	68091
218	182067	67339
219	182977	66537
220	183910	65741
221	184823	64937
222	185817	64161
223	186843	63393
224	187866	62622
225	188972	61876
226	189960	61088
227	190917	60289
228	192179	59584
229	193076	58762
230	193983	57943
231	194996	57154
232	196002	56361
233	196923	55542
234	197851	54724
235	199000	53966
236	200147	53203
237	201066	52378
238	202038	51566
239	203004	50751
240	203942	49927
241	204865	49100
242	205793	48272
243	206820	47467
244	207753	46638
245	208772	45828
246	209752	45007
247	210698	44178
248	211546	43328
249	212582	42516
250	213586	41696
251	214566	40869
252	215543	40041
253	216512	39210
254	217429	38369
255	218342	37527
256	219143	36666
257	220103	35830
258	220941	34975
259	221909	34139
260	223068	33332
261	224021	32491
262	224826	31629
263	225731	30781
264	226674	29938
265	227465	29074
266	228459	28236
267	229405	27391
268	230231	26532
269	231296	25699
270	232240	24852
271	233256	24011
272	234149	23157
273	235152	22313
274	236172	21470
275	237144	20621
276	238124	19772
277	239124	18923
278	240920	18133
279	243041	17360
280	244919	16560
281	247402	15791
282	249788	15004
283	252513	14226
284	255263	13434
285	257769	12618
286	260589	11803
287	263291	10970
288	265715	10113
289	267942	9239
290	270506	8366
291	273021	7480
292	275279	6576
293	277721	5667
294	279720	4741
295	282200	3813
296	284512	2873
297	286931	1925
298	289274	967
299	291625	0
